id,class_key,name_ko,priority,target_images,available_images,aihub_names,match_scores,status,food_code,notes
35,chicken_fried,치킨(후라이드),P0,1000,3140,순살후라이드치킨|닭윙후라이드치킨|후라이드치킨(뼈)|닭다리후라이드치킨|치킨버거|치킨너겟|치킨파히타|치킨토스트|치킨샐러드|탄두리치킨|순살간장반후라이드반치킨|닭윙간장치킨,순살후라이드치킨:0.93|닭윙후라이드치킨:0.93|후라이드치킨(뼈):0.92|닭다리후라이드치킨:0.92|치킨버거:0.90|치킨너겟:0.90|치킨파히타:0.89|치킨토스트:0.89|치킨샐러드:0.89|탄두리치킨:0.89|순살간장반후라이드반치킨:0.88|닭윙간장치킨:0.88,ok,,
36,chicken_seasoned,치킨(양념),P0,1000,3190,훈제양념치킨|순살양념치킨|닭윙양념치킨|순살간장치킨|닭다리간장치킨|닭다리양념치킨|간장치킨(뼈)|순살훈제양념치킨|닭윙&닭다리양념치킨|닭윙&닭다리간장치킨|순살양념파닭|양념닭가슴살,훈제양념치킨:0.92|순살양념치킨:0.92|닭윙양념치킨:0.92|순살간장치킨:0.92|닭다리간장치킨:0.91|닭다리양념치킨:0.91|간장치킨(뼈):0.91|순살훈제양념치킨:0.90|닭윙&닭다리양념치킨:0.89|닭윙&닭다리간장치킨:0.89|순살양념파닭:0.88|양념닭가슴살:0.88,ok,,
37,grilled_mackerel,고등어구이,P0,1000,130,고등어구이,고등어구이:1.00,low,,
38,grilled_saury,삼치구이,P1,1000,410,삼치구이|꽁치구이,삼치구이:1.00|꽁치구이:1.00,low,,
39,grilled_hairtail,갈치구이,P1,1000,140,갈치구이,갈치구이:1.00,low,,
40,pork_cutlet,돈까스,P0,1000,2910,카츠동|로제돈가스|피자돈까스|로스카츠(등심)|에비카츠|카츠나베|고구마돈가스|고구마치즈돈가스|히레카츠(안심),카츠동:0.92|로제돈가스:0.91|피자돈까스:0.91|로스카츠(등심):0.90|에비카츠:0.90|카츠나베:0.90|고구마돈가스:0.90|고구마치즈돈가스:0.89|히레카츠(안심):0.88,ok,,
41,fish_cutlet,생선까스,P1,1000,0,,,empty,,
42,tteokgalbi,떡갈비,P1,1000,0,,,empty,,
43,bossam,보쌈,P1,1000,0,,,empty,,
44,jokbal,족발,P1,1000,380,미니족발|불족발|냉채족발,미니족발:1.00|불족발:0.92|냉채족발:0.90,low,,
45,egg_roll,계란말이,P0,1000,280,치즈달걀말이,치즈달걀말이:0.92,low,,
46,fried_egg,계란후라이,P0,1000,0,,,empty,,
47,scrambled_egg,스크램블에그,P2,800,0,,,empty,,
48,kimchi,배추김치,P0,1000,1920,김치찜|김치죽|김치알컵밥|김치낙지죽|스팸김치컵밥|김치참치컵밥|김치참치마요컵밥,김치찜:0.92|김치죽:0.92|김치알컵밥:0.89|김치낙지죽:0.89|스팸김치컵밥:0.88|김치참치컵밥:0.88|김치참치마요컵밥:0.88,ok,,
49,kkakdugi,깍두기,P1,1000,0,,,empty,,
50,oi_sobagi,오이무침,P1,1000,0,,,empty,,
51,spinach_namul,시금치나물,P1,1000,0,,,empty,,
52,bean_sprout_namul,콩나물무침,P0,1000,0,,,empty,,
53,fernbrake_namul,고사리나물,P2,800,0,,,empty,,
54,anchovy_bokkeum,멸치볶음,P0,1000,0,,,empty,,
55,potato_jorim,감자조림,P0,1000,0,,,empty,,
56,quail_egg_jorim,메추리알장조림,P1,1000,0,,,empty,,
57,eomuk_bokkeum,어묵볶음,P0,1000,560,어묵튀김|핫바(어묵소시지),어묵튀김:0.90|핫바(어묵소시지):0.87,ok,,
58,japchae,잡채,P0,1000,530,잡채고로케|잡채말이튀김,잡채고로케:0.89|잡채말이튀김:0.88,ok,,
59,salad,샐러드,P1,1000,3140,콘샐러드|연어샐러드|두부샐러드|비프샐러드|버섯샐러드|치킨포케|연어포케|고구마샐러드|단호박샐러드|케이준샐러드,콘샐러드:0.93|연어샐러드:0.91|두부샐러드:0.91|비프샐러드:0.91|버섯샐러드:0.91|치킨포케:0.90|연어포케:0.90|고구마샐러드:0.90|단호박샐러드:0.90|케이준샐러드:0.90,ok,,
60,tteokbokki,떡볶이,P0,1000,2680,부대떡볶이|차돌떡볶이|곱창떡볶이|자장떡볶이|치즈떡볶이|크림떡볶이|마라떡볶이|로제떡볶이|우삼겹떡볶이|투움바떡볶이,부대떡볶이:0.91|차돌떡볶이:0.91|곱창떡볶이:0.91|자장떡볶이:0.91|치즈떡볶이:0.91|크림떡볶이:0.91|마라떡볶이:0.91|로제떡볶이:0.91|우삼겹떡볶이:0.90|투움바떡볶이:0.90,ok,,
61,sundae,순대,P0,1000,1410,찰순대|순대전골|모둠순대|아바이순대|오징어순대,찰순대:0.92|순대전골:0.90|모둠순대:0.90|아바이순대:0.89|오징어순대:0.89,ok,,
62,twigim,모듬튀김,P0,1000,1670,추어튀김|장어튀김|튀김꽃빵|튀김소보루|민물새우튀김,추어튀김:0.90|장어튀김:0.90|튀김꽃빵:0.90|튀김소보루:0.89|민물새우튀김:0.88,ok,,
63,hotdog,핫도그,P1,1000,1070,핫도그|감자핫도그|고구마핫도그|모짜렐라핫도그,핫도그:1.00|감자핫도그:0.91|고구마핫도그:0.90|모짜렐라핫도그:0.89,ok,,
64,pizza,피자,P0,1000,3280,오피자|피자빵|돌체피자|풍기피자|버섯피자|치즈피자|피자호빵|나폴리피자|루꼴라피자,오피자:0.92|피자빵:0.92|돌체피자:0.90|풍기피자:0.90|버섯피자:0.90|치즈피자:0.90|피자호빵:0.90|나폴리피자:0.89|루꼴라피자:0.89,ok,,
65,hamburger,햄버거,P0,1000,840,새우버거|치즈버거|베이컨치즈버거,새우버거:0.90|치즈버거:0.90|베이컨치즈버거:0.88,ok,,
66,sandwich,샌드위치,P1,1000,3200,햄샌드위치|치즈샌드위치|딸기샌드위치|반미샌드위치|에그샌드위치|클럽샌드위치|땅콩샌드위치|새우샌드위치|참치샌드위치|바질샌드위치|베이컨샌드위치|BLT샌드위치,햄샌드위치:0.93|치즈샌드위치:0.92|딸기샌드위치:0.92|반미샌드위치:0.92|에그샌드위치:0.92|클럽샌드위치:0.92|땅콩샌드위치:0.92|새우샌드위치:0.92|참치샌드위치:0.92|바질샌드위치:0.92|베이컨샌드위치:0.91|BLT샌드위치:0.91,ok,,
67,toast,토스트,P1,1000,2130,계란토스트|새우토스트|감자토스트|피자토스트|카야토스트|햄치즈토스트|베이컨토스트|프렌치토스트,계란토스트:0.91|새우토스트:0.91|감자토스트:0.91|피자토스트:0.91|카야토스트:0.91|햄치즈토스트:0.90|베이컨토스트:0.90|프렌치토스트:0.90,ok,,
68,dumplings,만두,P0,1000,3010,샤오롱바오|새우샤오롱바오|추어만두|가지만두|만두전골|새우만두|야끼만두|감자만두|납작만두|갈비만두,샤오롱바오:1.00|새우샤오롱바오:0.92|추어만두:0.90|가지만두:0.90|만두전골:0.90|새우만두:0.90|야끼만두:0.90|감자만두:0.90|납작만두:0.90|갈비만두:0.90,ok,,
69,jjinppang,찐빵/호빵,P2,800,950,꽃빵|단팥호빵|야채호빵,꽃빵:1.00|단팥호빵:0.90|야채호빵:0.90,ok,,
70,soondae_gukbap,순대국밥,P1,1000,0,,,empty,,
