class_id,class_key,name_ko,current_food_code,candidate_1_code,candidate_1_name,candidate_1_score,candidate_2_code,candidate_2_name,candidate_2_score,candidate_3_code,candidate_3_name,candidate_3_score
56,quail_egg_jorim,메추리알장조림,D511-553000000-0001,D711-553000000-0001,메추리알장조림,1.00,D611-553000000-0001,메추리알장조림,1.00,D511-553000000-0001,메추리알장조림,1.00
57,eomuk_bokkeum,어묵볶음,D510-486000000-0001,D710-486000000-0001,어묵볶음,1.00,D610-486000000-0001,어묵볶음,1.00,D510-486000000-0001,어묵볶음,1.00
58,japchae,잡채,D110-492000000-0001,D110-492000000-0001,잡채,1.00,D701-033000000-0001,잡채밥,1.00,D601-033000000-0001,잡채밥,1.00
59,salad,샐러드,,D714-724000000-0001,햄샐러드,1.00,D614-724000000-0001,햄샐러드,1.00,D514-724000000-0001,햄샐러드,1.00
60,tteokbokki,떡볶이,D110-467000000-0001,D610-467000000-0001,떡볶이,1.00,D110-467000000-0001,떡볶이,1.00,D710-467290000-0001,떡볶이_어묵,1.00
61,sundae,순대,D507-337000000-0001,D707-337000000-0001,순대,1.00,D607-337000000-0001,순대,1.00,D507-337000000-0001,순대,1.00
62,twigim,모듬튀김,,D401-064000000-0001,모듬 김밥,0.75,D312-548000000-0001,닭모래집튀김,0.60,D712-606000000-0001,쑥튀김,0.57
63,hotdog,핫도그,D302-122000000-0001,D302-122000000-0001,핫도그,1.00,D302-122010000-0001,핫도그_감자,1.00,D202-122000000-0051,핫도그_핫도그,0.95
64,pizza,피자,D502-120000000-0001,D702-120000000-0001,피자,1.00,D602-120000000-0001,피자,1.00,D502-120000000-0001,피자,1.00
65,hamburger,햄버거,D302-123000000-0001,D702-123000000-0001,햄버거,1.00,D602-123000000-0001,햄버거,1.00,D302-123000000-0001,햄버거,1.00
66,sandwich,샌드위치,,D702-149000000-0001,햄샌드위치,1.00,D402-149000000-0001,햄샌드위치,1.00,D702-144000000-0001,소고기 샌드위치,1.00
67,toast,토스트,,D402-145000000-0001,토스트(식빵),0.95,D202-100000000-0017,식빵_모닝토스트,0.90,D202-115000000-0033,토스트_피자토스트,0.85
68,dumplings,만두,,D703-188000000-0001,물만두,1.00,D703-180000000-0001,군만두,1.00,D603-188000000-0001,물만두,1.00
69,jjinppang,찐빵/호빵,,D202-117000000-0016,팥빵_호두단팥빵,0.46,D202-117000000-0017,팥빵_호밀찰보리빵,0.43,D202-108000000-0032,치즈빵_크림치즈호두빵,0.38
70,soondae_gukbap,순대국밥,,D101-004310000-0001,국밥_순대국밥,1.00,D705-234000000-0001,순대국,0.86,D605-234000000-0001,순대국,0.86
71,pork_soup_rice,돼지국밥,,D701-063000000-0001,돼지머리국밥,0.80,D401-063000000-0001,돼지머리국밥,0.80,D301-004000000-0001,국밥,0.67
72,kimbap_triangle,삼각김밥,D401-019000000-0001,D701-019000000-0001,삼각김밥,1.00,D401-019000000-0001,삼각김밥,1.00,D301-019320000-0001,삼각김밥_숯불갈비,0.97
73,convenience_lunchbox,도시락,,D202-082000000-0216,도넛_시크릿블랙,0.36,D407-358000000-0001,도미찜,0.33,D302-122000000-0001,핫도그,0.33
74,apple,사과,,D202-103000000-0066,와플_사과 와플,0.79,D714-700000000-0001,양배추 사과 샐러드,0.75,D614-700000000-0001,양배추 사과 샐러드,0.75
75,banana,바나나,,D720-756000000-0001,딸기바나나 스무디,0.90,D520-756000000-0001,딸기바나나 스무디,0.90,D420-756000000-0001,딸기바나나 스무디,0.90
76,orange,귤/오렌지,,D317-704000000-0001,오이지,0.50,D117-704000000-0001,오이지,0.50,D220-753000000-0012,홍차_아쌈오렌지,0.46
77,grape,포도,,D202-099000000-0012,스콘_스콘 건포도,0.75,D202-099000000-0001,스콘_건포도 스콘,0.75,D219-709000000-0086,빙수_청포도 젤라또,0.71
78,strawberry,딸기,D420-755000000-0001,D420-755000000-0001,딸기넥타,1.00,D319-714010000-0001,우유_딸기,0.92,D202-094000000-0001,번_딸기번,0.92
79,watermelon,수박,D520-758000000-0001,D720-758000000-0001,수박화채,1.00,D620-758000000-0001,수박화채,1.00,D520-758000000-0001,수박화채,1.00
80,pear,배,,D709-424000000-0001,배추전,0.85,D705-225000000-0001,배추국,0.85,D605-225000000-0001,배추국,0.85
